day,hour,SENS0008,SENS0010,SENS0012,SENS0017,SENS0018,SENS0019,SENS0020,SENS0021,SENS0022,SENS0023,SENS0027,SENS0028,SENS0030
2022-11-17,7,9.809582446,37.6561295,18.79777063,13.97681618,12.34191213,14.60059811,7.830431272,11.86010768,15.66033919,17.24431142,16.03025982,20.75592013,12.50115776
2022-11-17,8,9.664233252,37.60925976,18.73236907,13.98242932,12.34191064,14.5967581,7.786811719,11.87582335,15.55988654,17.2243397,16.01777676,20.69648978,12.46659351
2022-11-17,9,9.664196012,37.56242339,18.64188548,13.97119612,12.33926266,14.56308334,7.759531238,11.87844116,15.45092531,17.21433743,16.00222827,20.66146797,12.45596633
2022-11-17,10,9.630452623,37.53124585,18.61423796,13.96558437,12.31720109,14.53713693,7.699396244,11.88193489,15.40669444,17.21102685,15.9929106,20.61575256,12.45596554
2022-11-17,11,9.627841992,37.43266684,18.85613181,13.9543622,12.31014448,14.50832792,7.672012575,11.87582114,15.36659219,17.19770902,15.96186429,20.56211044,12.46925229
2022-11-17,12,9.568917163,37.39900935,18.82693765,13.94874632,12.28369327,14.51699849,7.652811685,11.87494743,15.32759969,17.18442388,15.94634536,20.52065522,12.46127992
2022-11-17,13,9.549814739,37.32920091,18.83430271,13.94594181,12.27047309,14.46235682,7.633637106,11.86010712,15.30959402,17.16119177,15.95875838,20.49796549,12.45862273
2022-11-17,14,9.554913824,37.34986399,18.93671222,13.93192614,12.25990294,14.43553675,7.628143784,11.86010713,15.27965037,17.17777253,15.96806342,20.46467569,12.45330914
2022-11-17,15,9.52032836,37.29045682,18.8818069,13.9375324,12.24933138,14.45085556,7.606182925,11.84701423,15.26270846,17.16783561,15.90610317,20.43934379,12.45508007
2022-11-17,16,9.478640829,37.21313444,18.81598385,13.929123,12.22203941,14.43075499,7.591528749,11.84439587,15.2288951,17.15454546,15.9184743,20.39152677,12.44799713
2022-11-17,17,9.555024688,37.1976819,18.76505341,13.92071496,12.20972182,14.41359193,7.58787073,11.84439587,15.20800519,17.14791415,15.91228979,20.35444001,12.45065353
2022-11-17,18,9.518564235,37.17454279,18.6781172,13.92071496,12.19916429,14.38494928,7.559453126,11.8443975,15.19311307,17.16117926,15.89064498,20.35312514,12.45508007
2022-11-17,19,9.458664434,37.12825795,18.59019999,13.90671293,12.17278825,14.38493855,7.558537048,11.8234571,15.18418918,17.1280402,15.87828634,20.28967109,12.45065274
2022-11-17,20,9.4169577,37.11285172,18.54468399,13.88992271,12.154335,14.38208496,7.521812308,11.8208393,15.1812005,17.12472456,15.84434723,20.25803834,12.43737467
2022-11-17,21,9.414300191,37.06153062,18.41236228,13.88712771,12.12271449,14.3477692,7.567702634,11.81909551,15.14552855,17.11810407,15.82895591,20.23437008,12.42411368
